text,script
bahut bahut mubarak ho dhillon,Roman Punjabi
hun te sala menu lgn lgg geya khodda band kr wali gal navaa. ne prem li kahi hibc mai navaan aaja nahi te meri side apne app badl di jndi o,Roman Punjabi
ਏਦਰ ਜੱਗੂ ਵੀ ਗਾਣਾ ਸੁਣ ਕੇ ਹੱਸਣ ਦੀਆ ਹੋਣਾ,Gurmukhi
ik e tune ch gai jana e bi,Roman Punjabi
dhaye hoye aa,Roman Punjabi
dev baai to jada screen time te prem le gya,Roman Punjabi
ਸ਼ਾਹ ਜੀ,Gurmukhi
ਆਲ ਬਲੈਕ ਵੀ ਸੋਣੇ ਨਹੀਂ ਲੱਗ ਰਹੇ,Gurmukhi
jeda banda kutiya video vicha arya actor de piche khada ji suno mata si o he said te khade ne fr,Roman Punjabi
tenu kon kehnda pasand kar rahe aa jagjeet tenu ek din kato ga eh dava e jaa rok laa rok sakda te,Roman Punjabi
music same bande da gana same bande da movie same bande di pra copy wali koi gall hi nai,Roman Punjabi
ਕੋਈ ਤੁੱਕ ਨੀ ਬਣੀ ਫੁੱਦੁ ਗਾਣਾ,Gurmukhi
ਢਿੱਲੋਂ ਇਸ ਵਾਰ ਗੱਲ ਨਹੀਂ ਬਣੀ ਵੀਰ,Gurmukhi
shah ji shad deyo kheraa hun navaan sandhu ohne marr jana jehr khaa k,Roman Punjabi
ਬਹੁਤ ਵਧੀਆ,Gurmukhi
majha wale like kro ji,Roman Punjabi
ਭੋਲਾ ਠੋਕ ਤਾਂ ਯਾਰ ਤੁਸੀਂ,Gurmukhi
roopkaurhxvk sec ago premdhillon bhaji te dev kharor bhaji sir veer ji mera tusi cmnt read krya ta plzz ikk moka jrooor deyo tuhady ly song likhya plzz hath bn k benti tuhady ly likhya plzz menu moka dedo i hope tuhanu gana bhut hi psaand avega menu v gaun likhn da bhut shonk but bhaji ma na thora strong nhi financialy plzz meri laaj rakhyo premdhillon whitehillmusic,Roman Punjabi
premdhillon bhaji te dev kharor bhaji sir veer ji mera tusi cmnt read krya ta plzz ikk moka jrooor deyo tuhady ly song likhya plzz hath bn k benti tuhady ly likhya plzz menu moka dedo i hope tuhanu gana bhut hi psaand avega menu v gaun likhn da bhut shonk but bhaji ma na thora strong nhi financialy plzz meri laaj rakhyo premdhillon whitehillmusic,Roman Punjabi
ਜਿਹੜੇ ਲੋਕਾਂ ਅੱਗੇ ਬਣੇ ਬਦਮਾਸ਼ ਕੁੜੇ ਮਿੱਤਰਾਂ ਨੇ ਢਾਏ ਹੋਏ ਆ,Gurmukhi
mja ni aaya,Roman Punjabi
ਤਰਨ ਤਾਰਨ ਵਾਲੇ ਭਾਊ prem dhillon,Gurmukhi
aa ha jatta hun ni rukda majhe ala,Roman Punjabi
top do gal,Roman Punjabi
ਜਿਹੜੇ ਲੋਕਾ ਅੱਗੇ ਬਣੇ badmash ਮਿੱਤਰਾ ਨੇ ਢਾਏ ਹੋਏ ਆ,Gurmukhi
ਢਿੱਲੋ astar,Gurmukhi
jedi mitra karoni lala lala ni o gaira kolo kitho honi aa flow,Roman Punjabi
